restart,phase,trial,cot,freq,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,1,86,1.747999,1.675000,0.144544,0.079774,0.105147,0.035000,0.050144,0.005310,0.074513,0.123910,0.087543,0.016414,-0.044240,-0.000870
1,1,87,1.670670,1.675000,0.161000,0.079383,0.105864,0.035000,0.060599,-0.012566,0.054693,0.120912,0.104464,0.020325,-0.047113,-0.015000
1,1,88,1.363231,1.675000,0.136045,0.080892,0.106126,0.035000,0.061724,0.015000,0.075000,0.119184,0.099617,0.019054,-0.065000,-0.012177
1,1,89,3.359135,1.675000,0.153500,0.078967,0.106277,0.035000,0.040445,-0.005184,0.045000,0.119000,0.101702,0.005000,-0.065000,0.003276
1,1,90,2.360047,1.675000,0.160275,0.076665,0.107447,0.035000,0.041369,0.015000,0.051646,0.135760,0.101471,0.010689,-0.051377,0.009583
1,1,91,1.731552,1.675000,0.141328,0.082684,0.101168,0.035000,0.039012,0.015000,0.068139,0.119000,0.087646,0.022674,-0.057814,-0.007792
1,1,92,10.000000,1.675000,0.152925,0.073992,0.109493,0.035000,0.054409,-0.015000,0.048173,0.133514,0.098252,0.032749,-0.048909,-0.011632
1,1,93,3.344307,1.675000,0.161000,0.079797,0.105440,0.019438,0.064196,0.013076,0.070717,0.129215,0.085000,0.005000,-0.065000,0.015000
1,1,94,3.716475,1.675000,0.121969,0.081231,0.103507,0.018704,0.065000,0.001522,0.058425,0.119000,0.085000,0.016798,-0.047915,0.006325
1,1,95,2.742482,1.675000,0.150699,0.076691,0.115000,0.035000,0.064375,0.003050,0.075000,0.125698,0.115000,0.032914,-0.037321,0.010087
1,1,96,0.989370,1.675000,0.134096,0.083055,0.115000,0.035000,0.053295,0.007323,0.075000,0.127140,0.112279,0.027032,-0.049739,-0.010845
1,1,97,10.000000,1.675000,0.139871,0.082254,0.101804,0.010105,0.036920,-0.014949,0.075000,0.119000,0.096883,0.014746,-0.056740,-0.011276
