phase,trial,cot,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
2,70,10.000000,1.062687,0.222514,0.077293,0.060130,0.063814,0.002932,0.030976,0.097182,0.109745,0.081249,0.036291,-0.015436,-0.092063,-0.039336
2,71,10.000000,1.147330,0.674200,0.198108,0.123975,0.121612,0.049081,0.096393,0.055726,0.099213,0.082857,0.129511,0.066167,-0.007408,0.036021
2,72,10.000000,2.895434,0.790567,0.202917,0.126498,0.141006,-0.007633,0.027911,0.078852,0.027533,0.206252,0.129529,0.063218,-0.077785,-0.037743
2,73,10.000000,1.188451,0.787778,0.184304,0.035010,0.094128,-0.008536,0.097485,0.000176,0.069676,0.098790,0.036267,-0.024137,-0.006395,0.041248
2,74,10.000000,1.980368,0.296846,0.167199,0.106338,0.149378,0.080186,0.005256,0.001638,0.018647,0.209811,0.033747,-0.021082,-0.083699,-0.038170
2,75,10.000000,1.000000,0.800000,0.070000,0.030000,0.050000,-0.010000,0.000000,0.100000,0.010000,0.070000,0.130000,-0.030000,-0.100000,0.050000
2,76,10.000000,1.035201,0.287963,0.141685,0.043166,0.140434,0.084706,0.088241,0.090851,0.011349,0.193374,0.042784,0.039962,-0.011076,-0.046141
2,77,10.000000,2.545737,0.209897,0.208810,0.044345,0.053575,0.079397,0.024521,0.076348,0.016364,0.077638,0.042587,0.057120,-0.060889,0.047935
2,78,10.000000,2.514998,0.753164,0.074248,0.041024,0.052055,0.088616,0.088848,0.090462,0.012533,0.149842,0.078546,0.060049,-0.003319,-0.039762
2,79,10.000000,2.832397,0.224217,0.113697,0.054481,0.055447,-0.005720,0.002947,0.073647,0.104714,0.201948,0.121445,0.009786,-0.091251,0.045050
2,80,10.000000,1.281591,0.316486,0.131891,0.128199,0.050013,0.020188,0.002886,0.000797,0.106928,0.201970,0.112540,0.067269,-0.014880,-0.043174
2,81,10.000000,2.925000,0.800000,0.070000,0.030000,0.150000,-0.010000,0.000000,0.000000,0.110000,0.070000,0.030000,0.070000,0.000000,-0.050000
2,82,10.000000,2.925000,0.800000,0.210000,0.130000,0.050000,-0.010000,0.100000,0.100000,0.010000,0.070000,0.030000,-0.030000,0.000000,-0.050000
2,83,10.000000,1.000000,0.800000,0.210000,0.030000,0.150000,0.090000,0.000000,0.100000,0.010000,0.210000,0.130000,-0.030000,0.000000,0.050000
2,84,10.000000,1.000000,0.800000,0.210000,0.130000,0.050000,-0.010000,0.100000,0.000000,0.010000,0.070000,0.130000,0.070000,-0.100000,-0.050000
2,85,10.000000,2.925000,0.800000,0.070000,0.130000,0.050000,0.090000,0.100000,0.000000,0.110000,0.210000,0.130000,-0.030000,-0.100000,0.050000
2,86,10.000000,2.838238,0.551734,0.152238,0.127884,0.052019,0.088793,0.066984,0.098834,0.098534,0.073617,0.129449,0.058382,-0.094732,0.046803
